,0,1,2,3,4,5
94,-0.601,1.336,-0.002,0.569,-0.385,0.569
95,-0.455,-0.734,0.004,0.241,-0.024,0.241
96,1.629,0.543,-0.086,-1.374,1.508,-1.374
97,0.876,-0.667,-0.51,-1.235,0.957,-1.235
98,-0.716,0.781,-0.218,1.03,-1.228,1.03
99,-0.677,-1.932,-0.614,0.522,-0.992,0.522
100,1.299,-0.773,-0.09,-1.226,1.36,-1.226
101,-0.477,-0.645,-0.04,0.259,-0.088,0.259
102,-0.311,0.957,0.161,0.101,0.281,0.101
103,-0.726,-0.699,0.333,1.574,-1.681,1.574
104,-0.094,-0.58,-0.705,-0.626,0.156,-0.626
105,-0.124,0.747,-0.137,-0.286,0.378,-0.286
106,-0.638,-0.571,-0.611,0.354,-0.789,0.354
107,-0.201,1.833,0.243,0.007,0.46,0.007
108,-0.313,-1.087,-0.989,-0.521,-0.235,-0.521
109,-0.571,1.499,0.147,0.571,-0.23,0.571
110,1.972,0.814,-0.319,-1.641,1.542,-1.641
111,-0.31,0.759,0.041,0.035,0.228,0.035
112,-0.038,-0.215,-0.203,-0.41,0.438,-0.41
113,-0.62,0.93,-0.045,0.608,-0.474,0.608
114,-0.745,-0.865,3.637,2.16,-2.136,2.16
115,-0.724,-0.257,0.381,1.535,-1.355,1.535
116,-0.689,-0.868,-0.141,0.857,-0.88,0.857
117,-0.722,0.332,0.808,1.778,-1.203,1.778
118,-0.559,1.128,0.058,0.49,-0.235,0.49
119,0.127,-1.141,-0.213,-0.565,0.585,-0.565
120,0.375,0.572,0.003,-0.642,0.875,-0.642
121,0.683,0.413,-0.449,-1.09,0.873,-1.09
122,-0.596,1.629,0.147,0.637,-0.304,0.637
123,-0.631,0.514,-0.108,0.608,-0.541,0.608
124,-0.702,0.302,0.026,1.037,-0.928,1.037
125,-0.141,0.075,-0.576,-0.505,0.163,-0.505
126,-0.189,1.511,0.076,-0.098,0.399,-0.098
127,-0.216,1.764,0.206,0.004,0.425,0.004
128,0.168,-1.417,-0.396,-0.699,0.537,-0.699
129,-0.663,-1.397,-0.507,0.512,-0.861,0.512
130,2.8,-1.072,-0.191,-1.87,1.889,-1.87
131,0.418,0.427,-0.237,-0.802,0.797,-0.802
132,2.736,-2.215,-0.858,-2.209,1.568,-2.209
133,-0.23,-1.15,-1.396,-0.849,-0.308,-0.849
134,-0.157,0.402,-0.454,-0.423,0.2,-0.423
135,-0.541,-0.449,-0.57,0.102,-0.465,0.102
136,-0.727,-1.619,-0.554,1.013,-1.72,1.013
137,1.441,-0.731,-0.339,-1.427,1.313,-1.427
138,-0.517,-0.795,-0.464,0.106,-0.36,0.106
139,-0.715,0.456,-0.385,0.926,-1.28,0.926
140,-0.277,0.146,-0.517,-0.312,0.024,-0.312
141,-0.571,0.825,-0.205,0.374,-0.382,0.374
142,-0.564,0.339,-0.403,0.248,-0.45,0.248
143,0.557,0.762,-0.343,-0.953,0.842,-0.953
144,-0.487,-1.055,-0.326,0.122,-0.235,0.122
145,0.028,-0.511,-0.061,-0.395,0.564,-0.395
146,-0.551,0.262,-0.31,0.268,-0.375,0.268
147,0.297,-0.266,-0.144,-0.664,0.751,-0.664
148,-0.588,0.91,-0.249,0.397,-0.453,0.397
149,-0.728,-1.561,-0.091,1.337,-1.804,1.337
150,-0.59,1.693,0.178,0.636,-0.271,0.636
151,0.599,0.04,-0.748,-1.199,0.687,-1.199
152,-0.194,0.304,-0.593,-0.456,0.095,-0.456
153,-0.68,-1.796,-0.532,0.582,-0.975,0.582
154,-0.55,-0.096,-0.488,0.168,-0.451,0.168
155,0.17,-1.104,-0.225,-0.608,0.615,-0.608
156,1.956,0.658,-0.408,-1.683,1.495,-1.683
157,-0.706,-0.219,-0.399,0.831,-1.153,0.831
158,1.625,1.493,0.452,-1.082,1.749,-1.082
159,-0.717,0.647,-0.292,0.998,-1.276,0.998
160,-0.512,-0.337,-0.174,0.255,-0.221,0.255
161,-0.719,1.182,0.243,1.357,-1.162,1.357
162,-0.684,-1.706,-0.5,0.623,-0.991,0.623
163,0.574,1.381,-0.008,-0.783,1.004,-0.783
164,-0.558,0.219,-0.414,0.229,-0.441,0.229
165,-0.481,-1.411,-0.474,0.029,-0.287,0.029
166,-0.535,-0.61,-0.581,0.082,-0.455,0.082
167,-0.522,0.819,0.321,0.547,-0.025,0.547
168,-0.234,-0.57,-1.069,-0.667,-0.166,-0.667
169,-0.505,-0.44,-0.152,0.252,-0.195,0.252
170,0.927,-0.438,-0.235,-1.114,1.108,-1.114
171,3.287,-1.476,-0.79,-2.347,1.767,-2.347
172,-0.192,1.226,-0.085,-0.182,0.324,-0.182
173,4.179,1.511,0.117,-2.11,2.42,-2.11
174,-0.721,0.213,-0.384,1.003,-1.415,1.003
175,-0.67,-1.968,-0.714,0.429,-0.989,0.429
176,-0.082,-0.147,-0.404,-0.476,0.303,-0.476
177,1.428,-1.322,-0.639,-1.583,1.172,-1.583
178,-0.719,0.427,-0.363,0.991,-1.362,0.991
179,-0.48,-1.421,-0.476,0.027,-0.287,0.027
180,0.447,1.18,0.091,-0.645,0.964,-0.645
181,0.576,1.183,-0.118,-0.844,0.956,-0.844
182,-0.009,-1.306,-0.649,-0.68,0.266,-0.68
183,-0.749,-0.297,4.326,2.248,-2.125,2.248
184,1.541,0.368,0.027,-1.275,1.522,-1.275
185,-0.19,0.982,-0.215,-0.256,0.269,-0.256
186,0.959,-0.808,-0.347,-1.192,1.075,-1.192
187,-0.689,-0.662,-0.03,0.917,-0.831,0.917
188,-0.562,1.479,0.213,0.583,-0.175,0.583
189,-0.121,0.516,-0.247,-0.349,0.332,-0.349
190,1.331,-1.602,-0.599,-1.516,1.146,-1.516
191,1.193,0.111,0.478,-0.867,1.565,-0.867
192,-0.712,0.482,-0.292,0.946,-1.19,0.946
193,1.626,0.78,0.052,-1.298,1.569,-1.298
194,-0.629,0.541,-0.124,0.594,-0.542,0.594
195,0.602,0.624,-0.425,-1.026,0.834,-1.026
196,-0.785,0.68,9.227,2.438,-2.299,2.438
197,-0.598,2.026,0.375,0.769,-0.211,0.769
198,-0.268,1.074,-0.038,-0.064,0.25,-0.064
199,-0.389,-1.289,-0.497,-0.143,-0.132,-0.143
200,0.583,1.807,0.226,-0.662,1.115,-0.662
201,-0.516,-0.055,-0.065,0.322,-0.181,0.322
202,-0.433,-1.455,-0.391,-0.013,-0.159,-0.013
203,-0.135,-0.585,-0.908,-0.692,0.021,-0.692
204,0.827,0.952,0.22,-0.813,1.258,-0.813
205,-0.494,-2.49,-1.14,-0.311,-0.609,-0.311
206,-0.713,-0.242,-0.662,0.739,-1.345,0.739
207,-0.604,0.564,-0.422,0.347,-0.58,0.347
208,-0.274,-0.189,-0.723,-0.429,-0.063,-0.429
209,-0.3,1.518,0.404,0.219,0.404,0.219
210,0.6,1.965,0.314,-0.625,1.165,-0.625
211,-0.423,-1.008,-0.167,0.091,-0.041,0.091
212,0.821,0.649,0.037,-0.908,1.172,-0.908
213,-0.627,0.369,-0.274,0.502,-0.597,0.502
214,-0.695,-1.063,-0.366,0.763,-1.018,0.763
215,0.934,-0.425,-0.209,-1.104,1.124,-1.104
216,2.903,-1.175,-0.234,-1.927,1.902,-1.927
217,-0.661,-1.027,-0.314,0.613,-0.771,0.613
218,-0.697,-0.586,-0.204,0.869,-0.971,0.869
219,-0.304,1.605,0.477,0.263,0.432,0.263
220,-0.728,0.681,0.819,1.757,-1.965,1.757
221,-0.613,0.647,-0.306,0.439,-0.56,0.439
222,-0.439,-1.256,-0.273,0.062,-0.117,0.062
223,5.255,-1.267,-0.295,-2.599,2.489,-2.599
224,-0.221,0.52,-0.479,-0.362,0.113,-0.362
225,1.054,-0.759,-0.113,-1.116,1.23,-1.116
226,-0.473,-1.297,-0.365,0.072,-0.222,0.072
227,-0.242,1.306,-0.005,-0.079,0.299,-0.079
228,-0.365,0.056,0.088,0.14,0.168,0.14
229,0.96,0.517,0.379,-0.801,1.402,-0.801
230,0.534,0.066,-0.71,-1.137,0.663,-1.137
231,0.364,-0.093,-0.327,-0.813,0.719,-0.813
232,-0.664,-0.138,0.277,0.957,-0.534,0.957
233,-0.704,-0.065,-0.233,0.907,-1.058,0.907
234,-0.503,-0.291,-0.059,0.3,-0.151,0.3
235,-0.673,-1.608,-0.462,0.586,-0.901,0.586
236,0.212,-0.47,0.04,-0.498,0.768,-0.498
237,-0.41,-0.12,0.284,0.317,0.181,0.317
238,0.764,0.824,-0.037,-0.915,1.106,-0.915
239,0.099,-0.867,-0.078,-0.468,0.62,-0.468
240,-0.603,1.521,0.113,0.639,-0.342,0.639
241,0.02,-1.066,-0.392,-0.568,0.409,-0.568
242,-0.534,0.515,0.018,0.408,-0.188,0.408
243,-0.037,-1.092,-0.671,-0.665,0.229,-0.665
244,1.433,-0.421,-0.148,-1.32,1.395,-1.32
245,-0.587,1.439,0.043,0.554,-0.321,0.554
246,0.002,-0.775,-0.309,-0.506,0.429,-0.506
247,-0.675,-1.045,-0.125,0.784,-0.77,0.784
248,-0.705,0.411,-0.066,1.013,-1.006,1.013
249,-0.74,-1.596,2.632,1.996,-2.169,1.996
250,-0.549,0.441,-0.198,0.325,-0.322,0.325
251,0.788,0.829,0.036,-0.89,1.153,-0.89
252,-0.393,-1.312,-0.486,-0.13,-0.132,-0.13
253,-0.716,1.365,0.113,1.227,-1.112,1.227
254,-0.235,1.315,-0.016,-0.093,0.302,-0.093
255,0.075,-3.201,-1.394,-1.161,0.01,-1.161
256,-0.438,-0.97,-0.115,0.146,-0.046,0.146
257,-0.683,-1.452,-0.354,0.698,-0.919,0.698
258,0.197,-1.333,-0.404,-0.727,0.557,-0.727
259,0.069,-1.692,-0.582,-0.715,0.368,-0.715
260,-0.582,0.308,-0.555,0.212,-0.569,0.212
261,-0.719,0.976,0.061,1.247,-1.222,1.247
262,-0.624,1.146,0.147,0.727,-0.405,0.727
263,2.061,1.203,-0.051,-1.531,1.696,-1.531
264,-0.646,-0.094,-0.103,0.669,-0.607,0.669
265,0.795,0.155,-0.311,-1.081,1.001,-1.081
266,0.588,0.713,-0.379,-0.992,0.846,-0.992
267,-0.115,0.935,0.008,-0.217,0.453,-0.217
268,-0.583,0.783,-0.305,0.354,-0.464,0.354
269,4.315,1.43,0.186,-2.109,2.485,-2.109
270,-0.261,1.838,0.361,0.144,0.437,0.144
271,-0.622,0.531,-0.249,0.502,-0.57,0.502
272,-0.722,0.468,0.509,1.576,-1.214,1.576
273,0.188,-1.011,-0.206,-0.612,0.639,-0.612
274,-0.561,1.493,0.234,0.591,-0.162,0.591
275,-0.522,0.498,0.152,0.455,-0.1,0.455
276,-0.34,-0.028,-0.173,-0.041,0.09,-0.041
277,-0.701,0.094,-0.049,0.99,-0.952,0.99
278,-0.231,1.296,-0.035,-0.109,0.299,-0.109
279,-0.728,0.547,1.197,1.892,-1.923,1.892
280,8.103,-0.427,-0.129,-3.087,3.115,-3.087
281,-0.734,-1.451,1.386,1.767,-2.183,1.767
282,-0.412,-1.241,-0.337,-0.018,-0.099,-0.018
283,1.808,1.312,0.026,-1.389,1.633,-1.389
284,-0.542,0.543,-0.064,0.382,-0.245,0.382
285,-0.724,-0.569,0.193,1.432,-1.434,1.432
286,-0.728,0.714,1.347,1.964,-1.87,1.964
287,-0.243,0.028,-0.717,-0.465,-0.02,-0.465
288,-0.316,-0.079,-0.394,-0.194,0.026,-0.194
289,0.855,-0.685,-0.585,-1.264,0.911,-1.264
290,-0.506,0.348,0.254,0.476,-0.018,0.476
291,-0.317,-0.491,-0.621,-0.316,-0.077,-0.316
292,-0.696,0.975,0.553,1.295,-0.653,1.295
293,-0.629,1.257,0.301,0.828,-0.356,0.828
294,3.229,-0.468,-0.14,-1.979,2.044,-1.979
295,-0.654,-0.05,0.121,0.826,-0.548,0.826
296,0.269,-0.758,-0.311,-0.733,0.655,-0.733
297,-0.411,-0.579,0.029,0.179,0.067,0.179
298,-0.313,-0.036,-0.387,-0.194,0.033,-0.194
299,-0.009,0.035,0.078,-0.286,0.592,-0.286
300,-0.6,1.256,-0.047,0.544,-0.404,0.544
301,-0.165,0.377,-0.492,-0.434,0.174,-0.434
302,0.127,-1.151,-0.218,-0.568,0.582,-0.568
303,1.439,-0.164,-0.018,-1.253,1.456,-1.253
304,0.118,-1.466,-0.394,-0.656,0.496,-0.656
305,-0.742,-0.53,3.641,2.29,-1.994,2.29
306,0.459,1.101,0.012,-0.696,0.937,-0.696
307,-0.246,1.215,-0.044,-0.095,0.276,-0.095
308,-0.773,0.971,7.569,2.426,-2.216,2.426
309,-0.726,-1.14,-0.185,1.223,-1.584,1.223
310,1.096,-2.292,-0.897,-1.561,0.898,-1.561
311,-0.292,0.386,-0.293,-0.171,0.104,-0.171
312,-0.716,1.56,0.24,1.307,-1.074,1.307
313,0.516,1.257,-0.024,-0.753,0.959,-0.753
314,1.283,-0.997,-0.194,-1.275,1.306,-1.275
315,-0.44,-1.761,-0.552,-0.088,-0.244,-0.088
316,-0.713,1.073,-0.032,1.109,-1.11,1.109
317,-0.234,0.851,-0.278,-0.238,0.187,-0.238
318,-0.404,-1.498,-0.525,-0.134,-0.168,-0.134
319,-0.724,-0.221,0.56,1.653,-1.345,1.653
320,1.818,0.608,-0.375,-1.609,1.456,-1.609
321,-0.587,0.523,-0.459,0.279,-0.542,0.279
322,0.52,0.623,-0.383,-0.95,0.801,-0.95
323,-0.359,-1.553,-0.883,-0.399,-0.256,-0.399
324,-0.383,0.419,0.434,0.356,0.293,0.356
325,-0.53,-0.394,-0.414,0.164,-0.37,0.164
326,-0.717,1.219,0.058,1.211,-1.161,1.211
327,-0.464,-1.449,-0.412,0.03,-0.227,0.03
328,-0.687,-1.109,-0.224,0.797,-0.898,0.797
329,-0.725,-0.644,-0.242,1.158,-1.518,1.158
330,-0.731,0.743,3.468,2.643,-1.557,2.643
331,-0.436,-1.967,-0.671,-0.161,-0.289,-0.161
332,0.625,1.442,0.039,-0.79,1.057,-0.79
333,-0.662,-0.269,0.167,0.887,-0.571,0.887
334,-0.724,-0.345,0.337,1.512,-1.376,1.512
335,-0.098,0.863,0.052,-0.211,0.49,-0.211
336,-0.578,0.554,-0.399,0.286,-0.488,0.286
337,-0.726,0.294,0.508,1.68,-1.857,1.68
338,-0.546,1.129,0.198,0.535,-0.139,0.535
339,0.381,0.367,-0.134,-0.72,0.817,-0.72
340,-0.353,0.383,0.177,0.17,0.226,0.17
341,2.127,0.552,-0.335,-1.71,1.593,-1.71
342,-0.727,-1.342,0.034,1.402,-1.738,1.402
343,-0.157,1.324,0.045,-0.151,0.422,-0.151
344,0.907,-0.135,-0.129,-1.046,1.145,-1.046
345,-0.726,-1.103,-0.244,1.182,-1.587,1.182
346,-0.751,-0.106,4.582,2.272,-2.128,2.272
347,-0.597,2.161,0.45,0.809,-0.177,0.809
348,-0.347,0.42,0.149,0.146,0.222,0.146
349,0.376,-0.053,-0.353,-0.836,0.716,-0.836
350,1.302,-1.511,-0.505,-1.452,1.175,-1.452
351,-0.272,1.519,0.231,0.088,0.365,0.088
352,0.362,0.425,-0.027,-0.649,0.852,-0.649
353,-0.468,-0.516,0.079,0.306,-0.016,0.306
354,1.186,-1.234,-0.265,-1.266,1.227,-1.266
355,-0.632,0.737,0.053,0.701,-0.476,0.701
356,0.718,0.027,-0.588,-1.186,0.831,-1.186
357,0.246,-2.209,-1.04,-1.11,0.31,-1.11
358,-0.691,-0.27,0.112,1.011,-0.791,1.011
359,-0.743,-1.407,3.102,2.036,-2.198,2.036
360,-0.598,1.086,-0.152,0.478,-0.441,0.478
361,2.812,-0.571,0.09,-1.723,2.019,-1.723
362,-0.542,0.359,-0.159,0.33,-0.287,0.33
363,-0.301,-0.481,-0.73,-0.397,-0.103,-0.397
364,-0.376,-0.463,-0.124,0.041,0.056,0.041
365,-0.084,-0.011,-0.346,-0.441,0.326,-0.441
366,-0.619,0.478,-0.326,0.449,-0.592,0.449
367,-0.714,0.873,-0.153,1.05,-1.174,1.05
368,-0.73,-0.078,0.908,1.728,-2.068,1.728
369,-0.725,0.669,0.751,1.811,-1.75,1.811
370,-0.489,0.306,0.384,0.514,0.076,0.514
371,-0.585,1.676,0.175,0.623,-0.259,0.623
372,-0.052,-0.609,-0.49,-0.552,0.296,-0.552
373,-0.787,0.582,9.464,2.43,-2.318,2.43
374,0.14,-1.446,-0.384,-0.669,0.519,-0.669
375,-0.684,-1.073,-0.166,0.812,-0.852,0.812
376,-0.574,0.344,-0.485,0.228,-0.514,0.228
377,-0.348,-0.791,-0.544,-0.231,-0.087,-0.231
378,-0.051,1.139,0.453,-0.041,0.718,-0.041
379,-0.478,-0.841,-0.15,0.2,-0.138,0.2
380,1.342,-1.264,-0.429,-1.43,1.227,-1.43
381,1.667,0.662,-0.103,-1.399,1.517,-1.399
382,-0.772,1.293,7.779,2.522,-2.137,2.522
383,-0.496,-1.415,-0.59,-0.005,-0.371,-0.005
384,-0.631,0.918,0.143,0.748,-0.433,0.748
385,-0.612,1.166,-0.018,0.595,-0.43,0.595
386,-0.63,0.263,-0.28,0.509,-0.612,0.509
387,-0.017,-0.194,-0.084,-0.366,0.512,-0.366
388,-0.521,-1.564,-0.917,-0.133,-0.57,-0.133
389,-0.602,1.252,-0.043,0.55,-0.407,0.55
390,-0.721,0.454,-0.171,1.132,-1.346,1.132
391,-0.72,0.701,-0.139,1.131,-1.295,1.131
392,-0.664,0.181,0.473,1.067,-0.452,1.067
393,-0.295,1.599,0.41,0.215,0.415,0.215
394,-0.535,1.479,0.507,0.68,0.025,0.68
395,-0.733,-1.154,1.7,1.902,-2.087,1.902
396,0.071,-0.488,0.082,-0.357,0.668,-0.357
397,-0.717,0.519,-0.363,0.96,-1.308,0.96
398,-0.48,0.118,0.351,0.478,0.08,0.478
399,-0.454,-0.776,-0.019,0.228,-0.033,0.228
400,-0.467,-1.033,-0.196,0.153,-0.135,0.153
401,0.696,0.211,-0.534,-1.144,0.843,-1.144
402,0.514,1.232,-0.035,-0.758,0.953,-0.758
403,-0.722,0.314,-0.177,1.14,-1.37,1.14
404,1.275,-0.802,-0.076,-1.207,1.355,-1.207
405,-0.728,0.426,1.059,1.829,-1.967,1.829
406,-0.729,0.306,2.438,2.315,-1.732,2.315
407,3.434,0.472,0.05,-1.938,2.189,-1.938
408,-0.714,1.912,0.412,1.386,-0.972,1.386
409,1.585,-0.64,-0.644,-1.656,1.239,-1.656
410,0.042,-1.253,-0.413,-0.6,0.42,-0.6
411,-0.472,-1.206,-0.315,0.099,-0.2,0.099
412,-0.589,1.47,0.056,0.567,-0.321,0.567
413,-0.582,-0.398,-0.939,0.002,-0.739,0.002
414,0.174,-1.317,-0.35,-0.679,0.563,-0.679
415,-0.525,0.783,0.266,0.524,-0.057,0.524
416,-0.664,-1.403,-0.474,0.538,-0.856,0.538
417,-0.44,-1.09,-0.181,0.113,-0.078,0.113
418,1.77,0.897,-0.156,-1.471,1.535,-1.471
419,0.78,1.035,0.124,-0.837,1.188,-0.837
420,-0.699,0.509,0.214,1.126,-0.826,1.126
421,-0.209,0.916,-0.265,-0.259,0.223,-0.259
422,2.398,0.097,-0.097,-1.681,1.797,-1.681
423,2.473,-0.222,-0.127,-1.724,1.81,-1.724
424,-0.151,0.93,-0.146,-0.262,0.344,-0.262
425,-0.102,-0.368,-0.629,-0.577,0.182,-0.577
426,-0.722,0.527,0.652,1.664,-1.18,1.664
427,2.241,-0.289,-0.613,-1.903,1.509,-1.903
428,-0.167,0.718,-0.313,-0.335,0.251,-0.335
429,-0.228,0.884,-0.27,-0.24,0.198,-0.24
430,-0.036,-0.707,-0.457,-0.55,0.326,-0.55
431,-0.621,1.657,0.397,0.854,-0.284,0.854
432,-0.231,1.014,-0.192,-0.193,0.229,-0.193
433,-0.26,0.223,-0.552,-0.353,0.031,-0.353
434,0.32,-0.127,-0.163,-0.692,0.76,-0.692
435,0.5,2.392,0.635,-0.387,1.245,-0.387
436,1.613,0.067,-0.315,-1.491,1.398,-1.491
437,1.171,-1.052,-0.165,-1.204,1.265,-1.204
438,-0.722,0.292,0.097,1.321,-1.321,1.321
439,-0.342,-0.288,-0.304,-0.108,0.029,-0.108
440,-0.468,-1.784,-0.609,-0.07,-0.321,-0.07
441,-0.35,0.319,0.117,0.133,0.203,0.133
442,0.945,-1.282,-0.644,-1.345,0.934,-1.345
443,0.871,0.304,0.003,-0.955,1.185,-0.955
444,-0.543,0.868,0.095,0.472,-0.177,0.472
445,1.449,0.056,0.08,-1.204,1.505,-1.204
446,-0.587,1.692,0.18,0.631,-0.263,0.631
447,-0.654,0.054,0.178,0.857,-0.522,0.857
448,-0.291,1.367,0.253,0.124,0.35,0.124
449,-0.674,-1.44,-0.356,0.65,-0.862,0.65
450,0.886,0.297,0.043,-0.941,1.211,-0.941
451,-0.604,-0.007,-0.743,0.171,-0.721,0.171
452,-0.563,0.457,-0.332,0.285,-0.416,0.285
453,-0.578,0.911,-0.211,0.391,-0.407,0.391
454,-0.605,1.574,0.157,0.67,-0.33,0.67
455,-0.725,1.425,0.937,1.888,-1.745,1.888
456,0.959,-1.76,-0.866,-1.473,0.841,-1.473
457,-0.717,1.159,0.031,1.2,-1.177,1.2
458,-0.425,-1.648,-0.518,-0.096,-0.201,-0.096
459,-0.133,-0.0,-0.579,-0.517,0.171,-0.517
460,-0.726,-0.39,0.419,1.627,-1.716,1.627
461,-0.262,0.622,-0.322,-0.226,0.132,-0.226
462,-0.673,-0.267,0.306,1.017,-0.576,1.017
463,-0.559,0.837,-0.098,0.405,-0.304,0.405
464,-0.729,0.165,1.974,2.146,-1.829,2.146
465,4.975,-1.518,-0.61,-2.703,2.284,-2.703
466,-0.568,-0.314,-0.785,0.048,-0.629,0.048
467,-0.686,-0.677,0.016,0.925,-0.789,0.925
468,1.369,-0.195,0.115,-1.148,1.485,-1.148
469,-0.071,0.056,-0.235,-0.395,0.391,-0.395
470,0.086,-1.634,-0.516,-0.695,0.413,-0.695
471,-0.654,-0.187,0.032,0.775,-0.585,0.775
472,-0.369,-0.877,-0.415,-0.129,-0.063,-0.129
473,-0.659,-0.459,-0.015,0.771,-0.631,0.771
474,-0.616,0.727,-0.227,0.492,-0.536,0.492
475,-0.738,-1.536,2.457,2.0,-2.133,2.0
