,0
325,1.04
326,0.584
327,1.145
328,0.751
329,-0.444
330,2.092
331,0.746
332,2.458
333,1.592
334,0.176
335,2.222
336,0.966
337,-2.681
338,2.035
339,2.101
340,2.255
341,2.079
342,-1.207
343,2.178
344,2.239
345,-0.64
346,0.673
347,2.331
348,2.213
349,1.731
350,1.68
351,2.413
352,2.275
353,1.962
354,2.064
355,1.554
356,1.426
357,0.535
358,1.257
359,0.077
360,1.327
361,2.866
362,1.444
363,0.777
364,1.729
365,1.561
366,0.969
367,0.389
368,-0.681
369,-2.944
370,2.444
371,1.906
372,1.337
373,0.748
374,1.599
375,0.876
376,0.833
377,1.051
378,2.921
379,1.566
380,1.813
381,2.411
382,1.178
383,0.801
384,1.707
385,1.508
386,1.008
387,2.035
388,0.214
389,1.496
390,0.022
391,0.158
392,2.083
393,2.696
394,2.572
395,-0.164
396,2.353
397,-0.037
398,2.402
399,1.817
400,1.504
401,1.512
402,2.306
403,-0.036
404,2.396
405,-0.376
406,1.131
407,2.853
408,1.237
409,1.49
410,1.509
411,1.296
412,1.7
413,0.053
414,1.669
415,2.188
416,0.519
417,1.563
418,2.336
419,2.638
420,1.311
421,1.625
422,2.51
423,2.468
424,1.86
425,1.078
426,0.871
427,1.624
428,1.571
429,1.605
430,1.4
431,2.166
432,1.733
433,1.108
434,2.033
435,3.428
436,2.046
437,2.229
438,0.242
439,1.459
440,0.811
441,2.156
442,1.381
443,2.454
444,1.867
445,2.686
446,1.91
447,1.659
448,2.436
449,0.649
450,2.525
451,0.322
452,1.113
453,1.28
454,1.821
455,-0.565
456,1.011
457,0.53
458,1.016
459,1.144
460,-1.465
461,1.493
462,1.746
463,1.512
464,0.622
465,1.848
466,0.344
467,1.156
468,2.733
469,1.756
470,1.355
471,1.417
472,1.246
473,1.311
474,1.145
475,0.055
476,2.557
477,1.887
478,2.856
479,1.973
480,1.801
481,2.536
482,1.414
483,1.854
484,2.179
485,2.186
486,2.347
487,1.745
488,0.656
489,1.88
490,1.88
491,2.604
492,1.119
493,2.002
494,1.87
495,1.85
496,2.019
497,1.123
498,-0.644
499,2.267
